iso3,saledata,empdata,stockdata,salesAMA,empdataAMA
"ARG","X","X","","",""
"AUS","X","X","X","",""
"AUT","","","","X","X"
"BEL","X","X","X","X","X"
"BLR","","","","X","X"
"BMU","X","X","","",""
"BRA","X","X","X","",""
"CAN","X","X","","",""
"CHE","X","X","X","X","X"
"CHL","X","X","X","",""
"CHN","X","X","","",""
"DEU","X","X","X","X","X"
"DNK","X","X","X","X","X"
"EGY","X","X","","",""
"ESP","X","X","X","X","X"
"FIN","X","X","X","X","X"
"FRA","X","X","X","X","X"
"GBR","X","X","X","X","X"
"GRC","X","X","X","X","X"
"HKG","X","X","","",""
"HUN","","","","X","X"
"IDN","X","X","X","",""
"IND","X","X","X","",""
"IRL","","","X","X","X"
"IRN","X","X","","",""
"ISL","","","","X","X"
"ISR","X","X","X","",""
"ITA","X","X","X","X","X"
"JPN","X","X","X","",""
"KOR","X","X","X","",""
"MEX","X","X","","",""
"MYS","X","X","","",""
"NLD","X","X","X","X","X"
"NOR","X","X","X","X","X"
"NZL","","","X","",""
"PAK","X","X","","",""
"PER","X","X","","",""
"PHL","X","X","","",""
"POL","","","X","X","X"
"PRT","","","","X","X"
"RUS","X","X","X","",""
"SGP","X","X","","",""
"SWE","X","X","X","X","X"
"THA","X","X","","",""
"TUR","X","X","X","",""
"UKR","","","","X","X"
"USA","X","X","X","",""
"ZAF","X","X","X","",""
